Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
AAUSAT3 (AAUSAT-3),奥尔堡大学3号,Aalborg University,Denmark,1U,2/25/13,Was operational,Educational space systems engineering and testing AIS receivers.,sat/aausat3.html,https://www.nanosats.eu/sat/aausat3.html,
"STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator)",萨里训练研究演示纳卫星,SSTL,UK,3U,2/25/13,Was operational,Demonstrate CubeSat platforms technologies including Android smartphone and propulsion systems.,sat/strand-1.html,https://www.nanosats.eu/sat/strand-1.html,
"TUGSat 1 (Technische Universität Graz Satellite), BRITE-Austria, CanX 3B)",格拉茨技术大学卫星,Graz University of Technology,Austria,7 kg,2/25/13,"Operational, ?","Investigation of the brightness oscillations of massive luminous stars, BRITE constellation.",sat/brite.html,https://www.nanosats.eu/sat/brite.html,
BEESAT-2,蜜蜂卫星2,Technical University of Berlin,Germany,1U,4/19/13,Operational,Educational and technology demonstrations of reaction wheels and camera.,sat/beesat-2.html,https://www.nanosats.eu/sat/beesat-2.html,
BEESAT-3,蜜蜂卫星3,Technical University of Berlin,Germany,1U,4/19/13,"Reentered, Operational",Educational training and S-band transmitter demonstration.,sat/beesat-3.html,https://www.nanosats.eu/sat/beesat-3.html,
Dove-2 (Dove 0405),鸽子2号,Planet Labs,US,3U,4/19/13,"Was operational, Retired",Constellation for optical Earth observation with 3-5m resolution.,sat/dove-2.html,https://www.nanosats.eu/sat/dove-2.html,
OSSI-1 (Open Source Satellite Initiative),开源创新卫星1号,Open Source Satellite Initiative,South Korea,1U,4/19/13,"Reentered, No signal",Simple beacon transmitter and LED array for Morse code messages.,sat/ossi-1.html,https://www.nanosats.eu/sat/ossi-1.html,
SOMP (Students Oxygen Measurement Project),学生测氧项目星1号,Dresden University of Technology,Germany,1U,4/19/13,"Reentered, Operational",Educational training in space systems engineering and measuring atomic oxygen.,sat/somp.html,https://www.nanosats.eu/sat/somp.html,
Dove-1 (Dove 0601),鸽子1号,Planet Labs,US,3U,4/21/13,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,sat/dove-1.html,https://www.nanosats.eu/sat/dove-1.html,
PhoneSat 1.0a (Graham),电话卫星1.0A,NASA Ames Research Center,US,1U,4/21/13,"Reentered, Operational",Off-the-shelf commercial smartphone as the control system for the satellite and other technology demonstrations.,sat/phonesat-1.html,https://www.nanosats.eu/sat/phonesat-1.html,
PhoneSat 2.0a (Alexander),电话卫星2.0b,NASA Ames Research Center,US,1U,4/21/13,"Reentered, Operational",Off-the-shelf commercial smartphone as the control system for the satellite and other technology demonstrations.,sat/phonesat-2-0a.html,https://www.nanosats.eu/sat/phonesat-2-0a.html,
CubeBug-1 (Capitán Beto),立方爬虫1号,Satellogic,Argentina,2U,4/26/13,Was operational,Demonstrate CubeSat platform technologies including reaction wheels and star tracker.,sat/cubebug-1.html,https://www.nanosats.eu/sat/cubebug-1.html,
NEE-01 Pegaso,厄瓜多尔太空飞船1号,EXA (Ecuador Space Agency),Ecuador,1U,4/26/13,Was semi-operational,Transmit live video feed from orbit with SSTV.,sat/nee-01-pegaso.html,https://www.nanosats.eu/sat/nee-01-pegaso.html,
TURKSAT-3USAT,土耳其3U立方星,ITU (Istanbul Technical University),Turkey,3U,4/26/13,Was operational,Main payload is linear transponder operating in VHF/UHF.,sat/turksat-3usat.html,https://www.nanosats.eu/sat/turksat-3usat.html,
ESTCube-1,爱沙尼亚立方星1号,University of Tartu,Estonia,1U,5/7/13,Was operational,"Educational training, testing deployment of 10 m tether for deorbiting and camera.",sat/estcube-1.html,https://www.nanosats.eu/sat/estcube-1.html,
ArduSat,微控制器1号,Spire,US,1U,8/3/13,"Reentered, Operational",Platform for students and space enthusiasts to run space-based Arduino experiments.,sat/ardusat.html,https://www.nanosats.eu/sat/ardusat.html,
ArduSat-X,微控制器X号,Spire,US,1U,8/3/13,"Reentered, Operational",Platform for students and space enthusiasts to run space-based Arduino experiments.,sat/ardusat-x.html,https://www.nanosats.eu/sat/ardusat-x.html,
Pico Dragon (Picodragon),皮龙,Vietnam National Satellite Center,Vietnam,1U,8/3/13,"Reentered, Operational",Educational training and taking pictures of Earth.,sat/pico-dragon.html,https://www.nanosats.eu/sat/pico-dragon.html,
TechEdSat-3p,科技教育卫星3p,NASA Ames Research Center,US,3U,8/3/13,"Reentered, Operational",Demonstrate drag device deorbiting system and Iridium modem.,sat/techedsat-3p.html,https://www.nanosats.eu/sat/techedsat-3p.html,
POPACS (Polar Orbiting Passive Atmospheric Calibration Sphere),极轨被动大气定标球,Utah State University,US,3U,9/29/13,Passive,3 passive spheres to assess changes in the density of the upper atmosphere.,sat/popacs.html,https://www.nanosats.eu/sat/popacs.html,
Black Knight 1 (BK 1),黑骑士1号,West Point Military Academy,US,1U,11/20/13,"Reentered, No signal",Educational training for space systems engineering and camera payload.,sat/black-knight-1.html,https://www.nanosats.eu/sat/black-knight-1.html,
"CAPE-2 (CAPE2, OSCAR 75, LO-75)",海角2号,University of Louisiana at Lafayette,US,1U,11/20/13,"Reentered, Semi-operational",Demonstrate CubeSat platform technologies plus voice repeater payload.,sat/cape-2.html,https://www.nanosats.eu/sat/cape-2.html,
ChargerSat-1 (ChargerSat 1.2),充电器卫星1号,University of Alabama,US,1U,11/20/13,"Reentered, No signal",Educational training and demonstration of CubeSat platform technologies.,sat/chargersat-1.html,https://www.nanosats.eu/sat/chargersat-1.html,
COPPER (Close Orbiting Propellant Plume and Elemental Recognition),铜卫星,Saint Louis University,US,1U,11/20/13,"Reentered, No signal",Demonstrate microbolometer array for infrared imaging and radiation measurements.,sat/copper.html,https://www.nanosats.eu/sat/copper.html,
DragonSat 1 (DRAGONSat-1),龙卫星1号,Drexel University,US,1U,11/20/13,"Reentered, No signal",Educational training for space systems engineering and taking photos of aurora.,sat/dragonsat-1.html,https://www.nanosats.eu/sat/dragonsat-1.html,
Firefly,萤火虫,NASA Goddard Space Flight Center,US,3U,11/20/13,"Reentered, Operational",Investigate Terrestrial Gamma-ray Flashes (TGFs).,sat/firefly.html,https://www.nanosats.eu/sat/firefly.html,
Ho‘oponopono 2 (H2),霍波诺波诺2号,University of Hawai’i at Mānoa,US,3U,11/20/13,"Reentered, No signal",Radar calibration service.,sat/hooponopono-2.html,https://www.nanosats.eu/sat/hooponopono-2.html,
"Horus (STARE B, Space-Based Telescopes for Actionable Refinement of Ephemeris))",星历操作精化天基望远镜B,LLNL (Lawrene Livermore National Laboratory),US,3U,11/20/13,"Reentered, Was operational",Observe objects in space for space situational awareness and orbital parameters refinement.,sat/horus.html,https://www.nanosats.eu/sat/horus.html,
KYSAT II (KySat-2),肯塔基卫星2号,Kentucky universities,US,1U,11/20/13,"Reentered, Was operational",Demonstrate CubeSat platform technologies including stellar gyroscope and camera.,sat/kysat-ii.html,https://www.nanosats.eu/sat/kysat-ii.html,
NPS-SCAT (Naval Postgraduate School Solar Cell Array Tester),海军研究院太阳阵测试星,Naval Postgraduate School (NPS),US,1U,11/20/13,"Reentered, Was operational",Experiment to measure solar cells degradation.,sat/nps-scat.html,https://www.nanosats.eu/sat/nps-scat.html,
"ORS Tech 1 (MBD, Multimission Bus Demonstration)",空间快速响应技术1号,Johns Hopkins University Applied Physics Laboratory (JHU/APL),US,3U,11/20/13,"Reentered, Operational",Demonstrate CubeSat platform technologies.,sat/ors-tech.html,https://www.nanosats.eu/sat/ors-tech.html,
"ORSES (ORS 1, ORS Enabler Satellite)",作战响应型空间使能卫星,US Army Space and Missile Defense Command,US,3U,11/20/13,"Reentered, Was operational",Provide communications and data capabilities for underserved tactical users based on SMDC-ONE.,sat/orses.html,https://www.nanosats.eu/sat/orses.html,
PhoneSat 2.4a,电话卫星2.4,NASA Ames Research Center,US,1U,11/20/13,"Reentered, Operational",Off-the-shelf commercial smartphone as the control system for the satellite and other technology demonstrations.,sat/phonesat-2-4a.html,https://www.nanosats.eu/sat/phonesat-2-4a.html,
Prometheus 1-1,普罗米修斯,USSOCOM (US Special Operations Command),US,1.5U,11/20/13,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,sat/prometheus-1.html,https://www.nanosats.eu/sat/prometheus-1.html,
"SENSE SV1 (Space Environmental NanoSat Experiment, SV-1)",空间环境纳米试验星1号,US Air Force Space Command,US,3U,11/20/13,"Reentered, Was operational",Demonstrate CubeSat platform technologies. and radio occultation measurements of total electron content and L-band scintillation.,sat/sense.html,https://www.nanosats.eu/sat/sense.html,
SwampSat,天鹅卫星,University of Florida,US,1U,11/20/13,"Reentered, No signal",Demonstrate on orbit precision three axis attitude control using a pyramidal configuration of control moment gyroscopes.,sat/swampsat.html,https://www.nanosats.eu/sat/swampsat.html,
TJ3sat,托马斯·杰斐逊立方星,Thomas Jefferson High School for Science and Technology,US,1U,11/20/13,"Reentered, No signal",Educational space systems engineering.,sat/tj3sat.html,https://www.nanosats.eu/sat/tj3sat.html,
Trailblazer (SPA-1 Trailblazer),拓路者1号,University of New Mexico,US,1U,11/20/13,"Reentered, No signal",Proof-of-concept flight for Space Plug-and-play Architecture.,sat/trailblazer.html,https://www.nanosats.eu/sat/trailblazer.html,
Vermont Lunar CubeSat,佛蒙特月球立方星,Vermont Technical College,US,1U,11/20/13,"Reentered, Operational",Demonstrate CubeSat platform technologies for Moon mission.,sat/vermont-lunar-cubesat.html,https://www.nanosats.eu/sat/vermont-lunar-cubesat.html,
"$50Sat (50-Dollarsat, Eagle 2, Morehead-OSCAR-76)",50美元的卫星,Morehead State University,US,PocketQube 1.5p,11/21/13,"Reentered, Was operational",Demonstrate very low cost satellites with PocketQube.,sat/50sat.html,https://www.nanosats.eu/sat/50sat.html,
CubeBug-2 (Manolito),立方爬虫2号,Satellogic,Argentina,2U,11/21/13,Operational,Demonstrate CubeSat platform technologies including reaction wheels and star tracker.,sat/cubebug-2.html,https://www.nanosats.eu/sat/cubebug-2.html,
Delfi-n3Xt,代尔夫特下一任务星,Delft University of Technology,Netherlands,3U,11/21/13,"Semi-operational, ?, Was operational","Education, technology demonstration, CubeSat bus advancement and cold gas miccropropulsion.",sat/delfi-n3xt.html,https://www.nanosats.eu/sat/delfi-n3xt.html,
Dove-3 (Dove 0711),鸽子3号,Planet Labs,US,3U,11/21/13,"Retired, Was operational",Constellation for optical Earth observation with 3-5m resolution.,sat/dove-3.html,https://www.nanosats.eu/sat/dove-3.html,
Dove-4 (Dove 4),鸽子4号,Planet Labs,US,3U,11/21/13,Deployment failure,Constellation for optical Earth observation with 3-5m resolution.,sat/dove-4.html,https://www.nanosats.eu/sat/dove-4.html,
FUNcube-1 (AO-73),趣味立方1号,AMSAT-UK,UK,1U,11/21/13,Operational,Educational and amateur radio mission linear transponder.,sat/funcube-1.html,https://www.nanosats.eu/sat/funcube-1.html,
"GOMX-1 (GATOSS, Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance)",乔姆X 1,GomSpace,Denmark,2U,11/21/13,Operational,Demonstrate receiving ADS-B signals emitted by aircraft and camera.,sat/gomx-1.html,https://www.nanosats.eu/sat/gomx-1.html,
HiNCube,纳尔维克大学立方星,Narvik University College,Norway,1U,11/21/13,No signal,Educational training and demonstrate CubeSat platform technologies plus camera.,sat/hincube.html,https://www.nanosats.eu/sat/hincube.html,
HumSat-D,人道卫星D,University of Vigo,Spain,1U,11/21/13,Was operational,Educational training and demonstrate IoT solution.,sat/humsat-d.html,https://www.nanosats.eu/sat/humsat-d.html,
ICUBE 1,I立方星1号,Islamabad Institute of Science and Technology,Pakistan,1U,11/21/13,"Was operational, ?",Educational space systems engineering and imaging payload.,sat/icube-1.html,https://www.nanosats.eu/sat/icube-1.html,
"MOVE (First-MOVE, Munich Orbital Verification Experiment)",慕尼黑轨道验证实验1号,Technical University of Munich (TUM),Germany,1U,11/21/13,Was operational,Educational training and CubeSat platform development and testing solar cells.,sat/move.html,https://www.nanosats.eu/sat/move.html,
NEE-02 Krysaor,厄瓜多尔太空飞船2号,EXA (Ecuador Space Agency),Ecuador,1U,11/21/13,Was operational,Educational training and demonstration of CubeSat platform technologies.,sat/nee-02-krysaor.html,https://www.nanosats.eu/sat/nee-02-krysaor.html,
OPTOS (Optical Nanosatellite),光学纳卫星,National Institute of Aerospace Technology (INTA),Spain,3U,11/21/13,"Was operational, ?",Demonstrate CubeSat platform technologies.,sat/optos.html,https://www.nanosats.eu/sat/optos.html,
Pocket-PUCP (PUCP-Pocket),秘鲁天主教大学口袋卫星,Pontifical Catholic University of Peru,Peru,0.127 kg,11/21/13,"Unknown, ?",Transmit temperature measurements.,sat/pocket-pucp.html,https://www.nanosats.eu/sat/pocket-pucp.html,
PUCPSat-1,秘鲁天主教大学1号,Pontifical Catholic University of Peru,Peru,1U,11/21/13,"Was operational, ?",Deploy PUCP-Pocket and test ADCS system with custom micro wheels and research thermal design for future satellites.,sat/pucpsat-1.html,https://www.nanosats.eu/sat/pucpsat-1.html,
QubeScout 1 (QBscout),立方侦察兵S1,Maryland State University,US,PocketQube 2.5p,11/21/13,"Was operational, ?",Test a micro sun-sensor that can be used to find and point instruments toward the sun.,sat/qubescout-1.html,https://www.nanosats.eu/sat/qubescout-1.html,
"T-LogoQube (BeakerSat 1, MagPocketQube, Eagle-1)",烧杯卫星1号,Sonoma State University,US,PocketQube 2.5p,11/21/13,"Was operational, Reentered, ?",Simple attitude determination experiments based on magnetic field.,sat/t-logoqube.html,https://www.nanosats.eu/sat/t-logoqube.html,
Triton-1,海卫一1号,ISISpace,Netherlands,3U,11/21/13,"Operational, ?",Demonstrate AIS payload for ocean traffic monitoring.,sat/triton.html,https://www.nanosats.eu/sat/triton.html,
UWE-3,维尔茨堡大学试验星3号,University of Würzburg,Germany,1U,11/21/13,"Operational, ?",Demonstrate modular CubeSat platform technologies and real-time attitude control.,sat/uwe-3.html,https://www.nanosats.eu/sat/uwe-3.html,
"VELOX-P2 (VELOX-PII, VELOX-P)",气候监测与导航P1星,Nanyang Technological University,Singapore,1U,11/21/13,"Was operational, ?",Educational training and demonstrate CubeSat platform technologies.,sat/velox-p2.html,https://www.nanosats.eu/sat/velox-p2.html,
WNISAT 1 (Weather News Inc. Satellite 1),天气新闻公司卫星1号,Weather News Inc.,Japan,10 kg,11/21/13,"Operational, ?",Observation of sea ice in the Arctic waters.,sat/wnisat-1.html,https://www.nanosats.eu/sat/wnisat-1.html,
Wren,鹪鹩号,STADOKO UG,Germany,PocketQube 1p,11/21/13,"Reentered, Was operational",Advanced PocketQube with cameras and reaction wheels.,sat/wren.html,https://www.nanosats.eu/sat/wren.html,
ZACUBE-1 (TshepisoSat),南非立方星1号,Cape Peninsula University of Technology,South Africa,1U,11/21/13,Operational,Educational training and demonstration of multiple payloads for Earth imaging and S-band transmitter.,sat/zacube-1.html,https://www.nanosats.eu/sat/zacube-1.html,
AeroCube-5A (AeroCube 5A),航天立方5A,Aerospace Corporation,US,1.5U,12/6/13,"Reentered, Operational, ?",Demonstrate new technologies for pointing and tracking between two identical CubeSats and to demonstrate a deorbit device.,sat/aerocube-5.html,https://www.nanosats.eu/sat/aerocube-5.html,
ALICE (AFIT LEO iMESA CNT Experiment),爱丽丝,Air Force Institute of Technology (AFIT),US,3U,12/6/13,Was operational,Demonstration of new small satellite propulsion based on carbon nanotube array.,sat/alice.html,https://www.nanosats.eu/sat/alice.html,
CUNYSAT 1,纽约城市大学1号,City University of New York (CUNY),US,1U,12/6/13,No signal,Educational training and demonstrate CubeSat platform technologies.,sat/cunysat-1.html,https://www.nanosats.eu/sat/cunysat-1.html,
